task_id,recursion_pattern,branching_factor,expected_big_o,difficulty_tier,input_domain,converged,iterations_to_converge,iterations_attempted,actual_total_tokens,mutation_score,predicted_tokens,prediction_cost_tokens
rf-00021,tail,1,O(n),high,"n: int, 0-250",False,,4,1794,,1500,178
rf-00022,binary-tree,2,O(phi^n),medium,"n: int, 0-10",True,2,2,1078,3/3,1500,193
rf-00023,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",True,2,2,1047,3/3,1200,218
rf-00024,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",False,,4,3567,,1200,220
rf-00025,linear,1,O(n),medium,"n: int, 0-50",False,,4,1565,,1200,177
rf-00026,tail,1,O(n),medium,"n: int, 0-50",False,,4,2041,,1500,178
rf-00027,binary-tree,2,O(phi^n),medium,"n: int, 0-10",True,2,2,975,3/3,1500,193
rf-00028,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",True,2,2,1047,3/3,1500,218
rf-00029,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",True,2,2,1192,3/3,1200,220
rf-00030,linear,1,O(n),medium,"n: int, 0-50",False,,4,2114,,1200,177
rf-00031,tail,1,O(n),high,"n: int, 0-250",False,,4,2015,,1500,178
rf-00032,binary-tree,2,O(phi^n),medium,"n: int, 0-14",True,2,2,927,3/3,1500,193
rf-00033,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",False,,4,2483,,1500,218
rf-00034,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",True,4,4,2885,3/3,1500,220
rf-00035,linear,1,O(n),high,"n: int, 0-250",False,,4,2048,,1500,177
rf-00036,tail,1,O(n),high,"n: int, 0-120",False,,4,1996,,1200,178
rf-00037,binary-tree,2,O(phi^n),medium,"n: int, 0-10",True,2,2,989,3/3,1200,193
rf-00038,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",True,2,2,824,3/3,1500,218
rf-00039,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,2500,,1200,220
rf-00040,linear,1,O(n),high,"n: int, 0-120",True,2,2,876,3/3,1200,177
rf-00041,tail,1,O(n),high,"n: int, 0-120",False,,4,2034,,1200,178
rf-00042,binary-tree,2,O(phi^n),medium,"n: int, 0-10",True,2,2,942,3/3,1500,193
rf-00043,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",True,4,4,2108,3/3,1200,218
rf-00044,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",False,,4,2285,,1200,220
rf-00045,linear,1,O(n),high,"n: int, 0-250",True,2,2,814,3/3,1200,177
rf-00046,tail,1,O(n),high,"n: int, 0-120",False,,4,1951,,1200,178
rf-00047,binary-tree,2,O(phi^n),medium,"n: int, 0-10",True,3,3,1438,3/3,1500,193
rf-00048,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",False,,4,1724,,1200,218
rf-00049,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,3224,,1200,220
rf-00050,linear,1,O(n),high,"n: int, 0-120",False,,4,2064,,1200,177
rf-00051,tail,1,O(n),medium,"n: int, 0-50",False,,4,2032,,1200,178
rf-00052,binary-tree,2,O(phi^n),medium,"n: int, 0-10",True,3,3,1469,3/3,1200,193
rf-00053,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",True,2,2,1010,3/3,1200,218
rf-00054,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",True,2,2,1285,3/3,1200,220
rf-00055,linear,1,O(n),medium,"n: int, 0-50",False,,4,2109,,1200,177
rf-00056,tail,1,O(n),medium,"n: int, 0-50",False,,4,1977,,1200,178
rf-00057,binary-tree,2,O(phi^n),high,"n: int, 0-18",False,,4,1706,,1200,193
rf-00058,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",False,,4,1691,,1200,218
rf-00059,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",False,,4,2420,,1200,220
rf-00060,linear,1,O(n),medium,"n: int, 0-50",False,,4,1582,,1200,177
rf-00061,tail,1,O(n),high,"n: int, 0-250",False,,4,2083,,1200,178
rf-00062,binary-tree,2,O(phi^n),medium,"n: int, 0-10",True,2,2,993,3/3,1200,193
rf-00063,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",False,,4,2453,,1200,218
rf-00064,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",True,2,2,1192,3/3,1200,220
rf-00065,linear,1,O(n),high,"n: int, 0-250",False,,4,1997,,1200,177
rf-00066,tail,1,O(n),high,"n: int, 0-120",False,,4,2041,,1200,178
rf-00067,binary-tree,2,O(phi^n),medium,"n: int, 0-10",False,,4,2000,,1500,193
rf-00068,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",True,2,2,1122,3/3,1200,218
rf-00069,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-16",False,,4,2575,,1500,220
rf-00070,linear,1,O(n),high,"n: int, 0-120",False,,4,2060,,1200,177
rf-00071,tail,1,O(n),medium,"n: int, 0-50",False,,4,2041,,1200,178
rf-00072,binary-tree,2,O(phi^n),medium,"n: int, 0-14",True,2,2,898,3/3,1200,193
rf-00073,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",True,2,2,1209,3/3,1500,218
rf-00074,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,2073,,1500,220
rf-00075,linear,1,O(n),high,"n: int, 0-120",False,,4,1872,,1500,177
rf-00076,tail,1,O(n),high,"n: int, 0-120",False,,4,1908,,1200,178
rf-00077,binary-tree,2,O(phi^n),high,"n: int, 0-18",True,2,2,1080,3/3,1500,193
rf-00078,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",False,,4,2570,,1500,218
rf-00079,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",True,2,2,1192,3/3,1200,220
rf-00080,linear,1,O(n),high,"n: int, 0-120",False,,4,1990,,1200,177
rf-00081,tail,1,O(n),high,"n: int, 0-120",False,,4,2041,,1200,178
rf-00082,binary-tree,2,O(phi^n),medium,"n: int, 0-10",True,2,2,895,3/3,1200,193
rf-00083,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",True,2,2,1061,3/3,1500,218
rf-00084,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,2284,,1500,220
rf-00085,linear,1,O(n),high,"n: int, 0-250",False,,4,2094,,1200,177
rf-00086,tail,1,O(n),high,"n: int, 0-250",False,,4,2042,,1200,178
rf-00087,binary-tree,2,O(phi^n),medium,"n: int, 0-10",True,2,2,989,3/3,1500,193
rf-00088,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",True,2,2,1035,3/3,1500,218
rf-00089,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-16",False,,4,2339,,1500,220
rf-00090,linear,1,O(n),high,"n: int, 0-120",False,,4,2232,,1500,177
rf-00091,tail,1,O(n),high,"n: int, 0-120",False,,4,2004,,1200,178
rf-00092,binary-tree,2,O(phi^n),high,"n: int, 0-18",False,,4,2049,,1500,193
rf-00093,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",False,,4,2804,,1200,218
rf-00094,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,2543,,1500,220
rf-00095,linear,1,O(n),medium,"n: int, 0-50",False,,4,2148,,1200,177
rf-00096,tail,1,O(n),high,"n: int, 0-250",False,,4,2279,,1200,178
rf-00097,binary-tree,2,O(phi^n),high,"n: int, 0-18",True,2,2,991,3/3,1200,193
rf-00098,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",False,,4,2047,,1200,218
rf-00099,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-16",False,,4,2422,,1200,220
rf-00100,linear,1,O(n),medium,"n: int, 0-50",False,,4,2183,,1200,177
rf-00101,tail,1,O(n),high,"n: int, 0-120",False,,4,2009,,1200,178
rf-00102,binary-tree,2,O(phi^n),high,"n: int, 0-18",True,2,2,993,3/3,1200,193
rf-00103,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",False,,4,2126,,1500,218
rf-00104,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-16",False,,4,2865,,1200,220
rf-00105,linear,1,O(n),medium,"n: int, 0-50",False,,4,1974,,1200,177
rf-00106,tail,1,O(n),high,"n: int, 0-120",False,,4,1944,,1200,178
rf-00107,binary-tree,2,O(phi^n),high,"n: int, 0-18",True,2,2,895,3/3,1500,193
rf-00108,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",False,,4,1896,,1200,218
rf-00109,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-16",False,,4,2374,,1200,220
rf-00110,linear,1,O(n),high,"n: int, 0-120",False,,4,2077,,1200,177
rf-00111,tail,1,O(n),medium,"n: int, 0-50",False,,4,2041,,1200,178
rf-00112,binary-tree,2,O(phi^n),medium,"n: int, 0-14",True,2,2,1039,3/3,1500,193
rf-00113,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",False,,4,1600,,1500,218
rf-00114,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,2298,,1200,220
rf-00115,linear,1,O(n),high,"n: int, 0-120",False,,4,2054,,1200,177
rf-00116,tail,1,O(n),high,"n: int, 0-250",False,,4,2030,,1200,178
rf-00117,binary-tree,2,O(phi^n),medium,"n: int, 0-14",True,2,2,912,3/3,1200,193
rf-00118,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",True,2,2,942,3/3,1200,218
rf-00119,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",False,,4,2570,,1500,220
rf-00120,linear,1,O(n),high,"n: int, 0-250",False,,4,2086,,1500,177
rf-00121,tail,1,O(n),high,"n: int, 0-250",False,,4,2298,,1200,178
rf-00122,binary-tree,2,O(phi^n),medium,"n: int, 0-14",True,2,2,930,3/3,1200,193
rf-00123,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",False,,4,2261,,1200,218
rf-00124,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",True,2,2,1192,3/3,1500,220
rf-00125,linear,1,O(n),medium,"n: int, 0-50",False,,4,2332,,1200,177
rf-00126,tail,1,O(n),high,"n: int, 0-120",False,,4,1996,,1500,178
rf-00127,binary-tree,2,O(phi^n),medium,"n: int, 0-14",True,2,2,978,3/3,1500,193
rf-00128,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",False,,4,1644,,1200,218
rf-00129,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,2759,,1200,220
rf-00130,linear,1,O(n),high,"n: int, 0-250",False,,4,2546,,1200,177
rf-00131,tail,1,O(n),medium,"n: int, 0-50",False,,4,2028,,1500,178
rf-00132,binary-tree,2,O(phi^n),high,"n: int, 0-18",True,2,2,979,3/3,1200,193
rf-00133,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",False,,4,1969,,1200,218
rf-00134,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",False,,4,2218,,1500,220
rf-00135,linear,1,O(n),high,"n: int, 0-250",False,,4,2018,,1200,177
rf-00136,tail,1,O(n),medium,"n: int, 0-50",False,,4,2015,,1500,178
rf-00137,binary-tree,2,O(phi^n),medium,"n: int, 0-14",True,2,2,1063,3/3,1200,193
rf-00138,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",False,,4,2419,,1500,218
rf-00139,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",False,,4,2700,,1200,220
rf-00140,linear,1,O(n),high,"n: int, 0-120",False,,4,1995,,1200,177
rf-00141,tail,1,O(n),high,"n: int, 0-120",False,,4,2034,,1200,178
rf-00142,binary-tree,2,O(phi^n),medium,"n: int, 0-10",False,,4,2007,,1500,193
rf-00143,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",True,2,2,1092,3/3,1200,218
rf-00144,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,3628,,1200,220
rf-00145,linear,1,O(n),medium,"n: int, 0-50",True,2,2,1014,3/3,1200,177
rf-00146,tail,1,O(n),high,"n: int, 0-250",False,,4,2263,,1200,178
rf-00147,binary-tree,2,O(phi^n),medium,"n: int, 0-10",True,2,2,956,3/3,1500,193
rf-00148,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",True,2,2,1040,3/3,1200,218
rf-00149,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,2092,,1500,220
rf-00150,linear,1,O(n),medium,"n: int, 0-50",False,,4,2086,,1200,177
rf-00151,tail,1,O(n),medium,"n: int, 0-50",False,,4,2034,,1200,178
rf-00152,binary-tree,2,O(phi^n),high,"n: int, 0-18",True,2,2,797,3/3,1200,193
rf-00153,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",True,4,4,2634,3/3,1200,218
rf-00154,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,2901,,1200,220
rf-00155,linear,1,O(n),medium,"n: int, 0-50",False,,4,2619,,1200,177
rf-00156,tail,1,O(n),high,"n: int, 0-250",False,,4,1908,,1200,178
rf-00157,binary-tree,2,O(phi^n),high,"n: int, 0-18",True,2,2,944,3/3,1200,193
rf-00158,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",True,4,4,2224,3/3,1200,218
rf-00159,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",False,,4,2718,,1200,220
rf-00160,linear,1,O(n),high,"n: int, 0-120",False,,4,2248,,1200,177
rf-00161,tail,1,O(n),high,"n: int, 0-250",True,2,2,960,2/2,1200,178
rf-00162,binary-tree,2,O(phi^n),medium,"n: int, 0-14",True,2,2,797,3/3,1500,193
rf-00163,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",False,,4,2486,,1200,218
rf-00164,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",False,,4,2557,,1200,220
rf-00165,linear,1,O(n),medium,"n: int, 0-50",False,,4,2640,,1200,177
rf-00166,tail,1,O(n),high,"n: int, 0-250",False,,4,2015,,1500,178
rf-00167,binary-tree,2,O(phi^n),high,"n: int, 0-18",False,,4,1974,,1500,193
rf-00168,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",False,,4,2401,,1200,218
rf-00169,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",True,4,4,3259,3/3,1200,220
rf-00170,linear,1,O(n),medium,"n: int, 0-50",False,,4,1559,,1500,177
rf-00171,tail,1,O(n),high,"n: int, 0-250",False,,4,2035,,1200,178
rf-00172,binary-tree,2,O(phi^n),high,"n: int, 0-18",True,2,2,927,3/3,1500,193
rf-00173,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",False,,4,2633,,1200,218
rf-00174,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",False,,4,2736,,1200,220
rf-00175,linear,1,O(n),high,"n: int, 0-120",False,,4,2437,,1200,177
rf-00176,tail,1,O(n),high,"n: int, 0-250",False,,4,2620,,1200,178
rf-00177,binary-tree,2,O(phi^n),medium,"n: int, 0-14",True,2,2,985,3/3,1200,193
rf-00178,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",True,2,2,1188,3/3,1200,218
rf-00179,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,2605,,1200,220
rf-00180,linear,1,O(n),high,"n: int, 0-120",False,,4,2057,,1500,177
rf-00181,tail,1,O(n),high,"n: int, 0-120",False,,4,1923,,1200,178
rf-00182,binary-tree,2,O(phi^n),high,"n: int, 0-18",False,,4,2026,,1500,193
rf-00183,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",False,,4,2398,,1200,218
rf-00184,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,2576,,1500,220
rf-00185,linear,1,O(n),high,"n: int, 0-120",True,1,1,351,3/3,1200,177
rf-00186,tail,1,O(n),high,"n: int, 0-120",False,,4,2017,,1200,178
rf-00187,binary-tree,2,O(phi^n),high,"n: int, 0-18",True,2,2,898,3/3,1200,193
rf-00188,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",False,,4,2245,,1500,218
rf-00189,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,3231,,1200,220
rf-00190,linear,1,O(n),high,"n: int, 0-120",False,,4,2099,,1500,177
rf-00191,tail,1,O(n),high,"n: int, 0-120",False,,4,2287,,1200,178
rf-00192,binary-tree,2,O(phi^n),high,"n: int, 0-18",True,2,2,946,3/3,1500,193
rf-00193,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",False,,4,2250,,1200,218
rf-00194,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,1999,,1500,220
rf-00195,linear,1,O(n),high,"n: int, 0-120",False,,4,2048,,1200,177
rf-00196,tail,1,O(n),medium,"n: int, 0-50",False,,4,1982,,1200,178
rf-00197,binary-tree,2,O(phi^n),high,"n: int, 0-18",True,2,2,987,3/3,1500,193
rf-00198,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",True,2,2,964,3/3,1200,218
rf-00199,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,2926,,1200,220
rf-00200,linear,1,O(n),high,"n: int, 0-120",False,,4,1933,,1200,177
rf-00201,tail,1,O(n),medium,"n: int, 0-50",False,,4,1794,,1200,178
rf-00202,binary-tree,2,O(phi^n),medium,"n: int, 0-14",True,2,2,934,3/3,1200,193
rf-00203,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",False,,4,2735,,1200,218
rf-00204,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-16",False,,4,3247,,1200,220
rf-00205,linear,1,O(n),high,"n: int, 0-250",False,,4,1776,,1200,177
rf-00206,tail,1,O(n),high,"n: int, 0-120",False,,4,1951,,1500,178
rf-00207,binary-tree,2,O(phi^n),high,"n: int, 0-18",False,,4,1947,,1500,193
rf-00208,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",False,,4,2924,,1500,218
rf-00209,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,2648,,1200,220
rf-00210,linear,1,O(n),medium,"n: int, 0-50",False,,4,2057,,1200,177
rf-00211,tail,1,O(n),high,"n: int, 0-120",False,,4,2041,,1500,178
rf-00212,binary-tree,2,O(phi^n),medium,"n: int, 0-14",True,2,2,1080,3/3,1200,193
rf-00213,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",True,2,2,1074,3/3,1200,218
rf-00214,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-16",False,,4,3663,,1200,220
rf-00215,linear,1,O(n),high,"n: int, 0-120",False,,4,1880,,1200,177
rf-00216,tail,1,O(n),high,"n: int, 0-250",False,,4,1956,,1500,178
rf-00217,binary-tree,2,O(phi^n),medium,"n: int, 0-10",True,2,2,991,3/3,1200,193
rf-00218,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",False,,4,1790,,1500,218
rf-00219,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,3950,,1200,220
rf-00220,linear,1,O(n),high,"n: int, 0-120",False,,4,2735,,1500,177
rf-00221,tail,1,O(n),medium,"n: int, 0-50",False,,4,1919,,1500,178
rf-00222,binary-tree,2,O(phi^n),high,"n: int, 0-18",True,2,2,977,3/3,1200,193
rf-00223,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",True,2,2,1021,3/3,1500,218
rf-00224,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",False,,4,2875,,1500,220
rf-00225,linear,1,O(n),high,"n: int, 0-120",False,,4,2104,,1200,177
rf-00226,tail,1,O(n),high,"n: int, 0-120",False,,4,1893,,1200,178
rf-00227,binary-tree,2,O(phi^n),high,"n: int, 0-18",True,2,2,989,3/3,1200,193
rf-00228,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",False,,4,2264,,1500,218
rf-00229,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",False,,4,2972,,1200,220
rf-00230,linear,1,O(n),high,"n: int, 0-250",False,,4,1882,,1200,177
rf-00231,tail,1,O(n),high,"n: int, 0-120",False,,4,2034,,1200,178
rf-00232,binary-tree,2,O(phi^n),high,"n: int, 0-18",True,2,2,910,3/3,1500,193
rf-00233,triple-branch,3,O(3^n)-ish,high,"n: int, 0-8",True,2,2,1005,3/3,1200,218
rf-00234,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-16",False,,4,3259,,1200,220
rf-00235,linear,1,O(n),high,"n: int, 0-250",False,,4,1912,,1200,177
rf-00236,tail,1,O(n),high,"n: int, 0-250",False,,4,1951,,1500,178
rf-00237,binary-tree,2,O(phi^n),medium,"n: int, 0-10",True,2,2,797,3/3,1500,193
rf-00238,triple-branch,3,O(3^n)-ish,high,"n: int, 0-6",True,2,2,958,3/3,1200,218
rf-00239,mixed-parity,2,O(phi^n) worst-case,medium,"n: int, 0-10",False,,4,2394,,1500,220
rf-00240,linear,1,O(n),high,"n: int, 0-250",False,,4,2571,,1200,177
rf-00241,tail,1,O(n),high,"n: int, 0-250",False,,4,1969,,1500,178
rf-00242,binary-tree,2,O(phi^n),medium,"n: int, 0-10",True,2,2,948,3/3,1200,193
rf-00243,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",True,2,2,1173,3/3,1200,218
rf-00244,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-16",False,,4,3139,,1500,220
rf-00245,linear,1,O(n),high,"n: int, 0-250",False,,4,2099,,1200,177
rf-00246,tail,1,O(n),medium,"n: int, 0-50",False,,4,1787,,1500,178
rf-00247,binary-tree,2,O(phi^n),medium,"n: int, 0-10",True,2,2,991,3/3,1500,193
rf-00248,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",True,3,3,1950,3/3,1200,218
rf-00249,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-20",False,,4,2454,,1500,220
rf-00250,linear,1,O(n),medium,"n: int, 0-50",False,,4,1859,,1200,177
rf-00251,tail,1,O(n),high,"n: int, 0-250",False,,4,2005,,1200,178
rf-00252,binary-tree,2,O(phi^n),medium,"n: int, 0-14",True,2,2,912,3/3,1200,193
rf-00253,triple-branch,3,O(3^n)-ish,high,"n: int, 0-9",True,2,2,1162,3/3,1200,218
rf-00254,mixed-parity,2,O(phi^n) worst-case,high,"n: int, 0-16",True,4,4,2895,3/3,1200,220
rf-00255,linear,1,O(n),high,"n: int, 0-120",False,,4,2162,,1200,177
rf-00256,tail,1,O(n),high,"n: int, 0-250",False,,4,2034,,1200,178
